order_id,order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
ORD-02631,2022-01-01,2022,Q1,1,January,Latin America,Brazil,Furniture,Lighting,Government,1,89.5,89.5,52.25,37.25,41.62
ORD-09061,2022-01-01,2022,Q1,1,January,Europe,Spain,Office Supplies,Pens & Markers,Small Business,4,15.76,63.04,33.4,29.64,47.02
ORD-01688,2022-01-01,2022,Q1,1,January,North America,United States,Electronics,Laptops,Small Business,1,789.52,789.52,625.92,163.6,20.72
ORD-07690,2022-01-01,2022,Q1,1,January,North America,United States,Electronics,Accessories,Consumer,2,34.61,69.22,55.54,13.68,19.77
ORD-02979,2022-01-01,2022,Q1,1,January,Asia Pacific,Japan,Clothing,Casual Wear,Corporate,1,57.14,57.14,23.15,33.99,59.49
ORD-09928,2022-01-01,2022,Q1,1,January,Latin America,Argentina,Office Supplies,Organizers,Small Business,12,47.42,569.04,366.82,202.22,35.54
ORD-00452,2022-01-01,2022,Q1,1,January,North America,United States,Clothing,Accessories,Consumer,1,33.73,33.73,13.56,20.17,59.79
ORD-01414,2022-01-02,2022,Q1,1,January,Asia Pacific,India,Clothing,Casual Wear,Government,1,126.74,126.74,69.69,57.05,45.01
ORD-00705,2022-01-02,2022,Q1,1,January,Asia Pacific,India,Electronics,Accessories,Corporate,1,141.28,141.28,106.0,35.28,24.97
ORD-02870,2022-01-02,2022,Q1,1,January,Latin America,Chile,Furniture,Desks,Corporate,1,500.69,500.69,299.91,200.78,40.1
ORD-09362,2022-01-02,2022,Q1,1,January,Asia Pacific,India,Electronics,Laptops,Government,2,2058.34,4116.68,2995.66,1121.02,27.23
ORD-03582,2022-01-02,2022,Q1,1,January,Asia Pacific,Australia,Electronics,Laptops,Government,2,2080.96,4161.92,2926.51,1235.41,29.68
ORD-05541,2022-01-02,2022,Q1,1,January,North America,Canada,Furniture,Lighting,Government,1,153.91,153.91,106.54,47.37,30.78
ORD-03016,2022-01-02,2022,Q1,1,January,North America,Mexico,Furniture,Storage,Consumer,1,41.91,41.91,23.9,18.01,42.98
ORD-03874,2022-01-02,2022,Q1,1,January,Asia Pacific,China,Office Supplies,Printers & Ink,Consumer,2,72.1,144.2,72.24,71.96,49.9
ORD-01478,2022-01-02,2022,Q1,1,January,North America,Mexico,Clothing,Casual Wear,Government,2,63.27,126.54,63.04,63.5,50.18
ORD-00375,2022-01-02,2022,Q1,1,January,Europe,Spain,Furniture,Office Chairs,Government,1,438.75,438.75,275.17,163.58,37.28
ORD-04707,2022-01-03,2022,Q1,1,January,Asia Pacific,South Korea,Clothing,Formal Wear,Small Business,2,138.3,276.6,132.95,143.65,51.93
ORD-07939,2022-01-03,2022,Q1,1,January,Latin America,Chile,Furniture,Storage,Government,1,419.61,419.61,245.21,174.4,41.56
ORD-09307,2022-01-03,2022,Q1,1,January,Europe,United Kingdom,Office Supplies,Paper & Notebooks,Consumer,1,5.09,5.09,3.27,1.82,35.67
ORD-02811,2022-01-03,2022,Q1,1,January,Asia Pacific,South Korea,Electronics,Smartphones,Government,1,641.84,641.84,486.16,155.68,24.25
ORD-02293,2022-01-03,2022,Q1,1,January,Latin America,Colombia,Clothing,Formal Wear,Consumer,1,49.96,49.96,17.88,32.08,64.2
ORD-08165,2022-01-03,2022,Q1,1,January,North America,United States,Clothing,Sportswear,Small Business,1,116.04,116.04,51.01,65.03,56.04
ORD-08849,2022-01-03,2022,Q1,1,January,Asia Pacific,India,Clothing,Accessories,Consumer,1,14.4,14.4,6.29,8.11,56.32
ORD-01242,2022-01-03,2022,Q1,1,January,North America,United States,Electronics,Tablets,Government,2,591.58,1183.16,961.76,221.4,18.71
ORD-07186,2022-01-04,2022,Q1,1,January,North America,Canada,Office Supplies,Pens & Markers,Consumer,4,8.63,34.52,19.18,15.34,44.44
ORD-06763,2022-01-04,2022,Q1,1,January,Asia Pacific,India,Clothing,Accessories,Corporate,1,53.54,53.54,22.77,30.77,57.48
ORD-08319,2022-01-04,2022,Q1,1,January,Europe,Germany,Electronics,Tablets,Government,3,662.23,1986.69,1630.03,356.66,17.95
ORD-09329,2022-01-04,2022,Q1,1,January,Latin America,Colombia,Electronics,Smartphones,Government,1,1290.26,1290.26,1002.07,288.19,22.34
ORD-09746,2022-01-04,2022,Q1,1,January,Asia Pacific,China,Clothing,Sportswear,Government,1,202.06,202.06,96.53,105.53,52.23
ORD-02343,2022-01-04,2022,Q1,1,January,Asia Pacific,South Korea,Clothing,Casual Wear,Corporate,1,110.01,110.01,43.55,66.46,60.41
ORD-02859,2022-01-04,2022,Q1,1,January,Latin America,Chile,Clothing,Accessories,Consumer,1,9.02,9.02,4.71,4.31,47.84
ORD-07874,2022-01-04,2022,Q1,1,January,Europe,Spain,Furniture,Lighting,Government,3,44.27,132.81,87.52,45.29,34.1
ORD-06890,2022-01-04,2022,Q1,1,January,North America,United States,Electronics,Smartphones,Government,1,1086.32,1086.32,911.5,174.82,16.09
ORD-06340,2022-01-04,2022,Q1,1,January,Asia Pacific,China,Furniture,Lighting,Government,1,144.4,144.4,106.81,37.59,26.03
ORD-05979,2022-01-04,2022,Q1,1,January,Latin America,Colombia,Clothing,Casual Wear,Small Business,1,85.42,85.42,33.88,51.54,60.33
ORD-09725,2022-01-04,2022,Q1,1,January,Europe,Spain,Furniture,Desks,Government,1,1247.09,1247.09,862.44,384.65,30.84
ORD-09615,2022-01-04,2022,Q1,1,January,Europe,Germany,Clothing,Accessories,Corporate,6,91.37,548.22,294.52,253.7,46.28
ORD-08506,2022-01-05,2022,Q1,1,January,Asia Pacific,India,Electronics,Tablets,Consumer,2,305.75,611.5,510.86,100.64,16.46
ORD-05549,2022-01-05,2022,Q1,1,January,Europe,France,Clothing,Formal Wear,Small Business,1,185.43,185.43,105.16,80.27,43.29
ORD-04805,2022-01-05,2022,Q1,1,January,Europe,United Kingdom,Furniture,Lighting,Government,2,179.83,359.66,234.8,124.86,34.72
ORD-03391,2022-01-05,2022,Q1,1,January,Latin America,Brazil,Clothing,Sportswear,Corporate,1,97.8,97.8,50.27,47.53,48.59
ORD-07257,2022-01-05,2022,Q1,1,January,Asia Pacific,South Korea,Furniture,Lighting,Small Business,1,94.27,94.27,57.99,36.28,38.49
ORD-04398,2022-01-05,2022,Q1,1,January,Latin America,Colombia,Electronics,Tablets,Corporate,1,236.69,236.69,189.96,46.73,19.74
ORD-04615,2022-01-05,2022,Q1,1,January,Asia Pacific,South Korea,Electronics,Tablets,Small Business,1,121.72,121.72,89.84,31.88,26.2
ORD-00939,2022-01-05,2022,Q1,1,January,Asia Pacific,China,Electronics,Tablets,Government,1,915.28,915.28,689.99,225.29,24.61
ORD-08738,2022-01-05,2022,Q1,1,January,Latin America,Brazil,Clothing,Sportswear,Consumer,1,26.8,26.8,15.57,11.23,41.92
ORD-05141,2022-01-06,2022,Q1,1,January,North America,Mexico,Clothing,Casual Wear,Consumer,1,25.21,25.21,13.77,11.44,45.39
ORD-08306,2022-01-06,2022,Q1,1,January,Asia Pacific,India,Office Supplies,Pens & Markers,Government,1,23.84,23.84,14.46,9.38,39.36
ORD-09226,2022-01-06,2022,Q1,1,January,North America,Mexico,Furniture,Desks,Government,4,444.01,1776.04,1161.55,614.49,34.6
ORD-02500,2022-01-06,2022,Q1,1,January,North America,United States,Office Supplies,Paper & Notebooks,Government,1,7.25,7.25,3.33,3.92,54.1
ORD-02095,2022-01-06,2022,Q1,1,January,North America,Mexico,Furniture,Storage,Consumer,1,142.89,142.89,93.97,48.92,34.23
ORD-05477,2022-01-06,2022,Q1,1,January,North America,Canada,Electronics,Laptops,Government,1,2670.32,2670.32,1997.81,672.51,25.18
ORD-02534,2022-01-06,2022,Q1,1,January,North America,Mexico,Furniture,Lighting,Corporate,1,175.72,175.72,116.71,59.01,33.58
ORD-04050,2022-01-06,2022,Q1,1,January,Asia Pacific,Australia,Furniture,Lighting,Consumer,1,51.28,51.28,32.92,18.36,35.81
ORD-00768,2022-01-06,2022,Q1,1,January,Asia Pacific,India,Clothing,Casual Wear,Consumer,3,16.01,48.03,25.21,22.82,47.5
ORD-07433,2022-01-06,2022,Q1,1,January,Asia Pacific,India,Clothing,Formal Wear,Small Business,1,158.17,158.17,60.33,97.84,61.86
ORD-02739,2022-01-06,2022,Q1,1,January,Latin America,Argentina,Furniture,Storage,Government,5,235.51,1177.55,653.25,524.3,44.52
